time,Fx,Fy,Fz
0.0,0.0,0.0,0.0
1.0,-0.22115720429984903,-1.0221035377503372e-05,-0.00017683186087974478
2.0,-0.2126625589427957,-1.6520219871830714e-05,-0.00017747010718265066
4.99999999999994,-0.20225508726849198,-5.5523248967493354e-05,-0.00016069804303799062
9.99999999999983,-0.19835046449772337,-4.584253192784198e-05,-0.00015386102471272312
20.0000000000003,-0.1975804843255183,-2.215745159428635e-05,-0.00018545041123745054
40.0000000000006,-0.19754958852508714,-2.1982127767755828e-05,-0.00018619568330911773
59.9999999999966,-0.1975495367410599,-2.198204147272481e-05,-0.00018619559940469266
80.000000000004,-0.19754953665373404,-2.198204133614136e-05,-0.00018619559926229268
100.0,-0.19754953676123316,-2.1982041217897402e-05,-0.00018619559965729615
